trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-23 18:00:00,20260623,2026-06-23_18-00-00.json,688012,中微公司,buy_passed,buy,A,84.0,0.5636,1.674,,,,,20260624,362.5,383.0,413.0,468.5,5.6552,13.931,29.2414,30.7779,-0.8828,-0.8828,100.0,100.0,72.0,60.0,60.0,57.0,62.0,65.0,56.34,60.0,20.6,-0.27,True,False,0.0,0.0,74.82,15.0,84.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300308,中际旭创,buy_passed,buy,A,99.5,0.7108,2.01,,,,,20260625,1326.0,1323.4,1220.0,1223.17,-0.1961,-7.994,-7.7549,1.4397,-11.8032,-11.8032,100.0,100.0,74.0,60.0,60.0,56.0,62.0,65.0,57.73,60.0,7.5,0.17,True,False,0.0,0.0,86.96,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.674,1.852,,,,,20260625,560.0,610.49,556.96,575.56,9.0161,-0.5429,2.7786,10.5125,-6.3893,-6.3893,100.0,100.0,58.0,56.88,60.0,54.32,62.0,65.0,56.26,60.0,3.3,0.6,True,False,0.0,0.0,85.91,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,000831,中国稀土,buy_passed,buy,A,99.5,0.628,1.882,,,,,20260625,57.68,57.61,54.29,53.5,-0.1214,-5.8773,-7.2469,2.2538,-8.3564,-8.3564,100.0,90.48,82.0,60.0,60.0,55.16,62.0,68.0,49.92,60.0,5.4,-2.33,True,False,0.0,0.0,85.05,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300394,天孚通信,buy_passed,buy,A,99.5,0.6372,1.888,,,,,20260625,318.08,341.97,295.15,285.0,7.5107,-7.2089,-10.3999,8.7777,-11.9718,-11.9718,100.0,100.0,58.0,60.0,72.0,47.0,62.0,65.0,50.29,60.0,2.4,4.57,True,False,0.0,0.0,85.24,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300620,光库科技,buy_passed,buy,A,86.0,0.6556,2.149,,,,,20260625,394.01,395.46,365.2,350.9,0.368,-7.312,-10.9413,0.9974,-12.1824,-12.1824,100.0,100.0,74.0,60.0,76.0,57.0,62.0,65.0,60.02,60.0,23.3,5.59,True,False,0.0,0.0,78.71,15.0,86.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,300308,中际旭创,consensus,,,,,,,,,,20260629,1239.0,1220.0,1223.17,1116.0,-1.5335,-1.2776,-9.9274,6.18,-10.0081,-10.0081,100.0,100.0,58.0,,,,,,,,1.6,-5.25,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,300502,新易盛,consensus,,,,,,,,,,20260629,556.0,556.96,575.56,526.0,0.1727,3.518,-5.3957,11.3076,-9.2446,-9.2446,100.0,100.0,58.0,,,,,,,,3.7,-7.29,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,300394,天孚通信,consensus,,,,,,,,,,20260629,309.0,295.15,285.0,250.1,-4.4822,-7.767,-19.0615,1.6149,-20.4078,-20.4078,100.0,83.49,34.0,,,,,,,,-0.4,-7.01,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-26 18:00:00,20260626,2026-06-26_18-00-00.json,000831,中国稀土,consensus,,,,,,,,,,20260629,54.87,54.29,53.5,54.45,-1.057,-2.4968,-0.7654,2.6426,-5.8137,-5.8137,100.0,69.36,34.0,,,,,,,,-1.7,-4.79,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.628,1.59,,,,,20260630,565.43,607.0,509.0,506.89,7.3519,-9.98,-10.3532,9.4512,-11.218,-11.218,100.0,100.0,58.0,52.08,60.0,47.0,62.0,65.0,59.82,60.0,1.5,-1.6,True,False,0.0,0.0,84.47,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,300308,中际旭创,buy_passed,buy,A,89.13,0.5636,1.197,,,,,20260630,1223.01,1270.0,1143.0,1098.92,3.8422,-6.5421,-10.1463,7.5682,-13.3008,-13.3008,100.0,100.0,34.0,52.08,60.0,47.0,62.0,65.0,51.84,60.0,-1.4,-2.7,True,False,0.0,0.0,76.69,15.0,89.13,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,688008,澜起科技,buy_passed,buy,A,85.49,0.582,1.369,,,,,20260630,296.27,309.51,268.76,268.29,4.4689,-9.2854,-9.4441,12.2321,-14.7872,-14.7872,100.0,100.0,82.0,44.17,46.0,57.0,62.0,65.0,52.58,60.0,17.8,13.1,True,False,0.0,0.0,75.4,15.0,85.49,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,603986,兆易创新,watch,watch,,84.0,0.6004,1.671,,,,,20260630,810.0,815.0,694.81,654.29,0.6173,-14.221,-19.2235,4.121,-22.2222,-22.2222,100.0,100.0,72.0,52.08,60.0,57.0,62.0,68.0,48.82,60.0,45.3,9.09,True,False,0.0,0.0,,,84.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,300308,中际旭创,buy_passed,buy,A,99.5,0.6004,1.507,,,,,20260701,1263.5,1223.17,1116.0,1121.9,-3.1919,-11.6739,-11.207,4.1211,-16.0791,-16.0791,100.0,100.0,58.0,52.08,60.0,47.0,62.0,65.0,48.82,65.0,2.0,4.1,True,False,0.0,0.0,84.5,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.582,1.667,,,,,20260701,608.0,575.56,526.0,510.1,-5.3355,-13.4868,-16.102,1.7878,-19.3914,-19.3914,100.0,100.0,58.0,52.08,60.0,56.76,62.0,65.0,52.58,65.0,9.4,8.98,True,False,0.0,0.0,84.45,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,002520,日发精机,buy_passed,buy,A,99.5,0.6096,1.835,,,,,20260701,6.86,7.05,7.72,7.8,2.7697,12.5364,13.7026,19.8251,-0.4373,-0.4373,100.0,92.06,82.0,52.08,60.0,54.52,62.0,68.0,53.68,65.0,3.8,2.83,True,False,0.0,0.0,85.34,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,300243,瑞丰高材,buy_passed,buy,A,99.5,0.5636,1.828,,,,,20260701,21.62,22.56,18.55,17.13,4.3478,-14.1998,-20.7678,6.4755,-21.6466,-21.6466,100.0,100.0,82.0,60.08,60.0,56.24,62.0,65.0,56.34,65.0,8.1,-2.25,True,False,0.0,0.0,84.4,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
