trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,strategy,_eval_error
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,300308,中际旭创,watch,watch,,57.58,0.72,-0.522,-0.522,2.892,8.729,0.331,20260722,1110.0,1060.8,1046.51,908.0,-4.4324,-5.7198,-18.1982,2.6018,-18.9198,-18.9198,84.0,60.43,34.0,55.0,70.0,47.0,62.0,65.0,53.6,65.0,-2.0,13.2,True,False,10.0,0.0,,,57.58,86.0,50.0,7.935,5.566,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,688347,华虹宏力,watch,watch,,57.41,0.674,-0.879,-0.879,3.77,10.0,0.377,20260722,388.51,390.06,329.9,281.0,0.399,-15.0858,-27.6724,6.337,-28.7045,-28.7045,100.0,100.0,58.0,55.0,94.0,57.0,62.0,40.0,49.06,65.0,18.9,20.0,True,False,10.0,0.0,,,57.41,78.0,50.0,10.362,7.565,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,300394,天孚通信,watch,watch,,28.93,0.6556,-1.801,-1.801,2.75,10.0,0.275,20260722,228.0,217.63,203.41,181.56,-4.5482,-10.7851,-20.3684,2.2719,-21.0482,-21.0482,54.0,0.0,26.0,55.0,70.0,20.05,62.0,65.0,55.52,65.0,-13.3,8.18,True,False,10.0,0.0,,,28.93,78.0,50.0,10.415,6.349,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,600487,亨通光电,consensus,,,,,,,,,,20260722,57.61,55.12,52.43,50.01,-4.3222,-8.9915,-13.1922,3.0724,-13.2095,-13.2095,54.0,0.0,30.0,,,,,,,,-29.9,6.01,,,,,,,,,,,,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,600522,中天科技,consensus,,,,,,,,,,20260722,34.0,32.5,31.39,29.96,-4.4118,-7.6765,-11.8824,2.5,-12.8235,-12.8235,54.0,0.0,22.0,,,,,,,,-27.9,7.48,,,,,,,,,,,,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,000938,紫光股份,watch,watch,,57.38,0.5636,-2.161,-2.161,3.662,9.315,0.393,20260723,45.57,42.45,41.47,37.33,-6.8466,-8.9971,-18.0821,0.5047,-18.0821,-18.0821,100.0,100.0,82.0,48.0,74.0,63.0,62.0,68.0,47.34,65.0,32.2,8.3,True,False,10.0,0.0,,,57.38,86.0,50.0,8.311,6.273,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,688072,拓荆科技,watch,watch,,56.97,0.628,-1.749,-1.749,3.394,10.0,0.339,20260723,791.08,743.0,791.9,700.87,-6.0778,0.1037,-11.4034,3.5142,-17.6341,-17.6341,100.0,100.0,50.0,55.0,82.0,55.76,62.0,65.0,49.92,65.0,6.9,3.48,True,False,10.0,0.0,,,56.97,86.0,50.0,12.03,6.585,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,688012,中微公司,watch,watch,,49.92,0.6004,-2.293,-2.293,3.103,10.0,0.31,20260723,398.97,375.2,399.77,360.0,-5.9578,0.2005,-9.7677,1.6944,-14.753,-14.753,100.0,100.0,34.0,55.0,82.0,32.95,62.0,65.0,53.32,65.0,-4.7,-3.65,True,False,10.0,0.0,,,49.92,86.0,50.0,9.744,6.987,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,300502,新易盛,watch,watch,,49.15,0.6556,-1.67,-1.67,2.926,9.954,0.294,20260723,517.72,497.3,491.0,421.2,-3.9442,-5.1611,-18.6433,1.1802,-23.9937,-23.9937,84.0,61.13,34.0,55.0,70.0,31.6,62.0,65.0,55.52,65.0,-5.6,-7.79,True,False,10.0,0.0,,,49.15,86.0,50.0,8.762,6.703,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,300308,中际旭创,consensus,,,,,,,,,,20260723,1089.54,1072.52,1076.94,951.0,-1.5621,-1.1565,-12.7155,2.3368,-18.36,-18.36,84.0,40.66,34.0,,,,,,,,-7.5,-6.66,,,,,,,,,,,,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,000831,中国稀土,consensus,,,,,,,,,,20260723,48.88,49.78,48.06,48.03,1.8412,-1.6776,-1.739,2.8846,-5.892,-5.892,24.0,26.69,26.0,,,,,,,,-1.9,-1.04,,,,,,,,,,,,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,300394,天孚通信,consensus,,,,,,,,,,20260723,222.01,212.09,209.19,182.09,-4.4683,-5.7745,-17.9812,0.8964,-23.1431,-23.1431,54.0,0.0,34.0,,,,,,,,-16.7,-5.79,,,,,,,,,,,,momentum,
2026-07-23 18:00:00,20260723,2026-07-23_18-00-00.json,000831,中国稀土,watch,watch,,58.27,0.582,-0.423,-0.423,3.225,5.121,0.63,20260724,48.99,47.6,46.78,47.4,-2.8373,-4.5111,-3.2456,0.0,-6.1033,-6.1033,24.0,32.68,50.0,55.0,70.0,53.0,62.0,68.0,52.58,60.0,-0.3,0.85,True,False,10.0,0.0,,,58.27,58.0,50.0,4.655,3.255,momentum,
2026-07-23 18:00:00,20260723,2026-07-23_18-00-00.json,300308,中际旭创,watch,watch,,49.79,0.6556,-1.32,-1.32,2.953,8.99,0.329,20260724,1050.53,1046.51,908.0,864.0,-0.3827,-13.5674,-17.7558,3.047,-24.5114,-24.5114,84.0,45.64,34.0,55.0,76.0,31.75,62.0,65.0,51.02,60.0,-5.5,1.1,True,False,10.0,0.0,,,49.79,86.0,50.0,8.173,5.723,momentum,
2026-07-23 18:00:00,20260723,2026-07-23_18-00-00.json,300502,新易盛,watch,watch,,44.45,0.628,-2.014,-2.014,2.745,9.617,0.285,20260724,481.94,476.02,406.9,371.1,-1.2284,-15.5704,-22.9987,2.8448,-27.9993,-27.9993,84.0,55.25,34.0,55.0,70.0,29.8,62.0,65.0,45.42,60.0,-6.8,-2.26,True,False,10.0,0.0,,,44.45,86.0,50.0,8.743,6.295,momentum,
2026-07-23 18:00:00,20260723,2026-07-23_18-00-00.json,688012,中微公司,watch,watch,,42.99,0.6004,-2.423,-2.423,2.887,10.0,0.289,20260724,370.0,388.5,383.0,346.5,5.0,3.5135,-6.3514,9.6568,-9.4595,-9.4595,100.0,100.0,34.0,55.0,70.0,26.8,62.0,65.0,53.32,60.0,-8.8,-4.53,True,False,10.0,0.0,,,42.99,86.0,50.0,10.117,7.006,momentum,
2026-07-23 18:00:00,20260723,2026-07-23_18-00-00.json,000636,风华高科,consensus,,,,,,,,,,20260724,42.52,40.22,43.19,50.5,-5.4092,1.5757,18.7676,22.9069,-5.9031,-5.9031,84.0,62.12,30.0,,,,,,,,-26.5,4.62,,,,,,,,,,,,momentum,
2026-07-24 18:00:00,20260724,2026-07-24_18-00-00.json,688825,长鑫科技,buy_passed,buy,B,61.36,0.6556,1.58,1.58,3.347,1.32,2.536,20260727,49.5,49.0,52.95,53.97,-1.0101,6.9697,9.0303,22.4242,-23.0101,-23.0101,50.0,50.0,47.0,55.0,82.0,47.0,62.0,65.0,51.02,55.0,,2.27,True,False,10.0,0.0,63.27,12.0,61.36,86.0,50.0,,,momentum,
2026-07-24 18:00:00,20260724,2026-07-24_18-00-00.json,000831,中国稀土,watch,watch,,56.41,0.582,-0.432,-0.432,3.137,5.018,0.625,20260727,47.35,48.06,48.03,47.82,1.4995,1.4361,0.9926,3.4002,-2.8511,-2.8511,24.0,30.2,50.0,55.0,69.56,40.15,62.0,68.0,48.08,60.0,-3.9,-4.38,True,False,10.0,0.0,,,56.41,58.0,50.0,4.562,3.231,momentum,
2026-07-24 18:00:00,20260724,2026-07-24_18-00-00.json,300308,中际旭创,watch,watch,,50.32,0.6924,-0.864,-0.864,2.953,8.934,0.331,20260727,1021.02,1076.94,951.0,902.01,5.4769,-6.8578,-11.656,5.7766,-22.3296,-22.3296,84.0,50.72,34.0,55.0,70.0,29.65,62.0,65.0,57.0,60.0,-6.9,-2.43,True,False,10.0,0.0,,,50.32,86.0,50.0,8.122,5.648,momentum,
2026-07-24 18:00:00,20260724,2026-07-24_18-00-00.json,300502,新易盛,watch,watch,,46.57,0.6004,-1.916,-1.916,3.689,9.937,0.371,20260727,466.14,491.0,421.2,396.01,5.3332,-9.6409,-15.0448,5.6356,-25.5588,-25.5588,84.0,53.86,34.0,77.0,70.0,25.0,62.0,65.0,55.12,60.0,-10.0,-4.28,True,False,10.0,0.0,,,46.57,86.0,50.0,9.034,6.173,momentum,
2026-07-27 18:00:00,20260727,2026-07-27_18-00-00.json,688072,拓荆科技,watch,watch,,60.43,0.6004,-2.218,-2.218,3.227,10.0,0.323,20260728,753.51,710.0,642.0,591.86,-5.7743,-14.7987,-21.4529,4.5772,-23.0548,-23.0548,100.0,100.0,50.0,48.0,82.0,54.68,54.0,65.0,59.62,50.0,4.2,0.11,False,False,10.0,0.0,,,60.43,86.0,50.0,12.669,6.769,momentum,
2026-07-27 18:00:00,20260727,2026-07-27_18-00-00.json,300308,中际旭创,watch,watch,,49.91,0.6924,-0.855,-0.855,2.942,8.883,0.331,20260728,1001.06,908.0,864.0,902.5,-9.2961,-13.6915,-9.8456,1.6922,-20.781,-20.781,84.0,67.53,26.0,55.0,80.0,34.6,54.0,65.0,61.5,50.0,-3.6,2.91,False,False,10.0,0.0,,,49.91,86.0,50.0,8.075,5.683,momentum,
2026-07-27 18:00:00,20260727,2026-07-27_18-00-00.json,300502,新易盛,watch,watch,,42.9,0.6556,-1.693,-1.693,2.762,9.711,0.284,20260728,460.0,406.9,371.1,394.08,-11.5435,-19.3261,-14.3304,2.1717,-24.5652,-24.5652,84.0,65.21,26.0,55.0,76.0,30.1,54.0,65.0,55.52,50.0,-6.6,3.15,False,False,10.0,0.0,,,42.9,86.0,50.0,8.828,6.224,momentum,
