trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,recommended_holding_days,holding_rule,entry_quality_score,crowding_score,entry_quality_delta,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,002463,沪电股份,buy_passed,buy,A,99.5,0.6004,1.146,,,,,20260630,141.1,152.8,130.51,128.83,8.292,-7.5053,-8.696,12.1191,-12.8278,-12.8278,100.0,100.0,50.0,52.08,60.0,47.0,62.0,68.0,53.32,65.0,2.3,-4.22,True,False,10.0,0.0,83.78,15.0,3,T+3_ok,,,,99.5,,,,,ok,52.5,137.44,143.8,141.31,136.84,0.94,0.91,0.89,128.13,,151.9,162.61,137.44,141.06,127.49,-9.62,151.9,162.61,0.8,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,002378,章源钨业,buy_passed,buy,A,99.5,0.5636,0.904,,,,,20260630,33.3,33.48,35.43,30.37,0.5405,6.3964,-8.7988,8.6787,-8.8589,-8.8589,76.0,80.84,74.0,60.0,60.0,47.0,62.0,68.0,51.84,65.0,0.4,-6.05,True,False,10.0,0.0,82.56,15.0,3,T+3_ok,,,,99.5,,,,,ok,57.5,34.53,36.04,35.43,34.43,0.66,0.6,0.86,30.0,,35.76,40.67,34.0,34.53,29.85,-12.21,35.76,40.67,0.42,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,688608,恒玄科技,buy_passed,buy,B,99.5,0.628,0.701,,,,,20260630,110.86,118.42,113.41,110.6,6.8194,2.3002,-0.2345,11.5551,-2.8053,-2.8053,0.0,23.77,74.0,60.0,60.0,47.0,62.0,65.0,54.42,65.0,1.4,0.45,True,False,10.0,0.0,83.44,12.0,3,T+3_ok,,,,99.5,,,,,ok,57.2,110.89,111.95,112.1,113.58,0.96,0.96,1.12,100.84,,118.13,123.59,110.89,112.36,100.34,-10.7,118.13,123.59,0.48,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,688721,龙图光罩,buy_passed,buy,A,87.0,0.628,2.408,,,,,20260630,56.0,58.38,61.02,55.0,4.25,8.9643,-1.7857,25.1071,-5.0714,-5.0714,100.0,100.0,72.0,60.0,60.0,57.0,62.0,65.0,45.42,65.0,16.9,3.82,True,False,10.0,0.0,79.98,15.0,3,T+3_ok,,,,87.0,,,,,ok,84.7,49.63,53.12,51.7,50.19,1.63,1.69,1.22,51.67,,62.07,64.0,49.63,56.29,51.41,-8.67,62.07,64.0,1.18,True,False,['rsi_above_70.0'],momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,688584,上海合晶,buy_passed,buy,A,87.0,0.582,2.242,,,,,20260630,35.35,35.85,35.38,30.87,1.4144,0.0849,-12.6733,13.6634,-16.4922,-16.4922,100.0,100.0,72.0,60.0,60.0,57.0,62.0,65.0,52.58,65.0,25.0,5.68,True,False,10.0,0.0,78.72,15.0,3,T+3_ok,,,,87.0,,,,,ok,81.9,29.08,31.48,30.41,29.27,1.71,1.94,1.21,32.75,,39.38,40.61,29.08,35.7,32.59,-8.71,39.38,40.61,1.18,True,False,['rsi_above_70.0'],momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,000790,华神科技,consensus,,,,,,,,,,20260630,3.59,3.49,3.72,3.76,-2.7855,3.6212,4.7354,7.7994,-4.1783,-4.1783,0.0,8.36,26.0,,,,,,,,-3.3,2.28,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-29 18:00:00,20260629,2026-06-29_18-00-00.json,002895,川恒股份,consensus,,,,,,,,,,20260630,29.7,29.2,30.78,31.56,-1.6835,3.6364,6.2626,7.8114,-3.5017,-3.5017,0.0,0.0,50.0,,,,,,,,-5.3,-1.94,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,688216,气派科技,buy_passed,buy,A,95.0,0.628,2.386,,,,,20260701,42.04,42.75,41.04,37.63,1.6889,-2.3787,-10.49,22.0266,-14.7003,-14.7003,100.0,100.0,82.0,60.0,48.0,57.0,62.0,65.0,52.62,65.0,14.7,9.37,True,False,10.0,0.0,84.33,15.0,3,T+3_ok,,,,95.0,,,,,ok,69.7,37.39,39.58,38.72,37.67,1.35,1.39,1.33,37.66,,47.44,49.25,37.39,42.01,37.48,-10.79,47.44,49.25,1.2,True,True,,momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,688135,利扬芯片,buy_passed,buy,A,87.0,0.6096,2.436,,,,,20260701,42.3,40.92,38.16,39.47,-3.2624,-9.7872,-6.6903,2.7896,-14.3972,-14.3972,100.0,100.0,72.0,60.0,60.0,57.0,62.0,65.0,53.68,65.0,13.3,4.03,True,False,10.0,0.0,79.66,15.0,3,T+3_ok,,,,87.0,,,,,ok,76.2,37.61,39.75,38.99,38.37,1.42,1.49,1.36,39.15,,46.5,46.96,37.61,42.08,38.96,-7.43,46.5,46.96,1.41,True,False,['rsi_above_70.0'],momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,688721,龙图光罩,buy_passed,buy,A,87.0,0.582,2.18,,,,,20260701,59.0,69.24,56.11,55.79,17.3559,-4.8983,-5.4407,18.7458,-9.8983,-9.8983,100.0,100.0,72.0,60.0,48.0,57.0,62.0,65.0,50.78,65.0,19.3,3.71,True,False,10.0,0.0,78.6,15.0,3,T+3_ok,,,,87.0,,,,,ok,84.6,50.44,54.29,52.66,50.93,1.24,1.34,1.3,53.63,,64.32,66.3,50.44,58.38,53.36,-8.6,64.32,66.3,1.18,True,False,['rsi_above_70.0'],momentum,
2026-06-30 18:00:00,20260630,2026-06-30_18-00-00.json,688372,伟测科技,buy_passed,buy,A,87.0,0.582,2.056,,,,,20260701,190.0,177.6,162.3,182.14,-6.5263,-14.5789,-4.1368,0.0,-15.2632,-15.2632,100.0,100.0,72.0,60.0,48.0,57.0,62.0,65.0,48.38,65.0,18.1,9.83,True,False,10.0,0.0,78.35,15.0,3,T+3_ok,,,,87.0,,,,,ok,77.9,159.79,169.57,165.72,162.6,1.33,1.43,1.53,172.01,,203.49,209.32,159.79,186.0,171.15,-7.98,203.49,209.32,1.18,True,False,['rsi_above_70.0'],momentum,
