date,code,name,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,volume_ratio,opportunity_rank_score,rsi,ma20_deviation_pct,t3,t5
20260805,300001,特锐德,6.397,2.359,71.75,0.85,,63.1,5.6,-1.45,2.31
20260805,600885,宏发股份,13.335,2.664,72.0,1.11,,63.7,6.0,-3.16,-4.94
20260805,603466,风语筑,9.344,0.337,73.25,1.07,,42.5,4.9,0.45,11.04
20260805,600919,江苏银行,4.797,2.174,75.25,1.07,,60.6,1.2,1.55,0.34
20260805,600971,恒源煤电,5.361,1.147,68.25,0.84,,51.5,2.9,8.35,6.68
20260805,002563,森马服饰,10.87,2.005,76.5,1.24,,63.8,5.7,0.82,-2.77
20260805,000518,四环生物,16.502,5.464,64.25,0.61,,50.8,4.6,4.82,8.12
20260805,300939,秋田微,11.23,4.855,69.5,1.02,,52.7,11.8,9.35,14.68
20260805,002415,海康威视,16.356,3.441,77.0,1.11,,71.7,8.1,-1.71,-4.25
20260805,000582,北部湾港,11.135,1.587,76.75,1.28,,74.8,9.7,3.43,1.4
20260805,603162,海通发展,7.307,2.784,62.38,0.75,,59.6,5.0,13.32,1.61
20260805,002354,天娱数科,15.486,1.955,69.5,1.07,,49.6,12.5,4.76,6.76
20260805,600563,法拉电子,0.497,2.299,67.25,0.82,,57.8,5.5,-3.22,-5.01
20260805,301053,远信工业,1.678,7.768,70.38,1.05,,54.2,3.5,-4.65,-3.18
20260805,600160,巨化股份,11.032,0.588,65.38,0.82,,59.6,5.8,3.63,-3.54
20260805,600985,淮北矿业,5.208,1.854,68.25,0.92,,50.7,1.2,12.4,7.6
20260805,002458,益生股份,7.929,2.484,64.25,0.66,,50.6,3.3,11.37,14.16
20260805,002606,大连电瓷,6.357,1.428,70.5,1.28,,62.2,7.2,1.44,0.55
20260805,603980,吉华集团,10.41,-2.957,79.25,1.34,,62.6,8.0,3.28,7.45
20260805,688322,奥比中光-W,6.985,3.138,72.88,1.3,,46.6,8.8,2.45,5.35
20260805,603228,景旺电子,10.865,3.723,69.75,1.0,,58.2,7.8,24.74,27.61
20260805,688646,逸飞激光,10.138,5.021,69.5,1.03,,50.7,10.1,6.72,-0.49
20260805,603156,养元饮品,15.895,4.992,69.0,1.17,,64.7,13.3,12.22,11.18
20260805,603373,安邦护卫,15.159,2.274,66.5,0.93,,67.2,11.5,4.93,8.6
20260805,603311,金海高科,7.244,8.058,63.12,0.86,,54.2,7.3,7.11,6.25
20260805,603976,正川股份,15.808,5.08,62.0,0.74,,53.8,7.5,3.96,4.26
20260805,001872,招商港口,4.716,0.791,62.75,0.65,,56.8,2.2,1.23,-1.14
20260805,600872,中炬高新,4.896,1.051,66.75,0.99,,61.8,4.2,-0.51,-2.09
20260805,000703,恒逸石化,12.426,4.663,69.5,0.94,,67.4,8.8,11.53,5.21
20260805,688697,纽威数控,7.763,2.544,66.5,1.08,,71.9,15.0,4.4,3.55
20260805,603317,天味食品,5.815,2.964,69.88,1.04,,63.0,5.7,-1.28,-1.82
20260805,603558,健盛集团,2.779,0.121,72.38,1.08,,68.5,4.3,0.0,-4.04
20260805,601678,滨化股份,17.293,2.6,66.5,0.95,,69.3,11.6,13.61,9.33
20260805,300506,名家汇,17.636,1.97,67.0,0.75,,52.5,6.4,-17.31,-14.72
20260805,688017,绿的谐波,11.383,7.708,68.0,1.16,,43.2,2.4,-0.08,6.24
20260805,688131,皓元医药,5.067,2.181,62.38,0.75,,45.1,3.4,19.34,14.91
20260805,688710,益诺思,16.781,5.632,57.25,0.6,,50.8,2.5,14.32,18.66
20260805,000333,美的集团,9.741,3.181,59.5,1.05,,64.5,1.8,-0.23,-1.36
20260805,603127,昭衍新药,19.544,7.035,55.75,0.79,,39.9,1.3,12.34,8.83
20260805,688690,纳微科技,6.563,5.21,67.25,0.88,,56.5,5.3,14.52,15.84
20260805,301273,瑞晨环保,20.943,8.57,61.25,0.88,,61.7,3.8,7.37,11.48
20260805,300878,维康药业,3.288,0.299,63.25,0.85,,39.3,4.8,3.97,10.34
20260805,600267,海正药业,12.516,2.704,57.25,0.73,,50.2,2.5,18.08,16.75
20260805,600886,国投电力,6.91,1.224,57.25,0.7,,55.5,0.1,-0.42,-2.23
20260805,301013,利和兴,12.655,9.061,74.75,1.53,,46.8,4.8,6.5,3.21
20260805,603990,麦迪科技,5.597,3.572,71.0,1.19,,50.0,4.2,24.95,31.26
20260805,605098,行动教育,3.971,2.122,73.88,1.54,,69.6,6.6,1.39,-0.94
20260805,688071,华依科技,10.139,-0.26,74.5,1.19,,61.5,7.9,-1.15,4.65
20260805,002925,盈趣科技,11.975,-0.117,70.0,0.81,,53.9,8.4,0.09,0.86
20260805,002440,闰土股份,21.153,-1.554,69.5,0.98,,65.3,9.4,7.02,2.47
20260805,601339,百隆东方,10.739,3.108,64.5,0.85,,61.2,6.9,-4.65,-4.17
20260805,688485,九州一轨,6.039,10.895,68.12,1.07,,51.0,7.5,17.92,24.55
20260805,300093,金刚光伏,7.703,2.897,69.0,1.18,,60.8,11.7,1.61,-0.04
20260805,000048,京基智农,21.635,-0.571,70.62,1.01,,51.7,6.9,2.92,13.55
20260805,601233,桐昆股份,10.055,0.811,67.0,0.89,,68.8,7.3,6.36,1.7
20260805,000951,中国重汽,0.566,0.98,68.25,1.17,,56.7,0.5,-0.09,-3.16
20260805,300453,三鑫医疗,0.452,0.016,72.0,1.72,,45.5,0.4,1.68,-0.73
20260805,300234,开尔新材,14.778,5.053,57.12,0.72,,50.7,12.7,-2.14,-1.6
20260805,603012,创力集团,2.531,0.416,62.88,0.93,,56.4,5.8,-5.57,4.18
20260805,605198,安德利,13.677,6.951,69.5,1.11,,59.7,12.4,12.67,9.2
20260805,688253,英诺特,15.431,7.745,70.0,0.97,,52.3,8.8,17.34,8.36
20260805,603226,菲林格尔,3.332,4.213,65.38,0.81,,52.7,3.6,4.89,7.53
20260805,002138,顺络电子,7.906,2.599,68.75,1.12,,56.8,9.1,-0.87,3.05
20260805,002955,鸿合科技,18.124,3.951,61.5,0.72,,74.5,9.9,5.94,7.18
20260806,300628,亿联网络,12.285,2.207,79.25,1.12,,67.2,5.5,-0.58,-0.38
20260806,002415,海康威视,13.53,3.286,79.25,1.12,,71.6,5.0,-2.39,-4.29
20260806,600919,江苏银行,6.08,2.243,77.75,1.05,,62.6,2.3,0.26,-0.26
20260806,002563,森马服饰,10.527,1.987,76.75,1.15,,68.2,4.9,0.5,-3.47
