group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,relative_strength_20d_pct,weekly_trend_score,daily_entry_score,quantitative_score,macd
missed,20260625,600259,中稀有色,-1.75,-5.81,60.7,8.6,1.41,25.752,23.472,100.0,82.0,,2.757
missed,20260626,603995,甬金股份,2.27,3.62,68.3,9.6,1.29,12.475,13.411,100.0,82.0,,0.683
watch,20260617,000831,中国稀土,1.8269,-1.6391,64.2,11.0,1.59,12.796,11.133,100.0,82.0,,1.788
watch,20260617,688012,中微公司,6.2057,14.0371,,,,,,,,,
watch,20260617,300308,中际旭创,3.1504,4.2047,,,,,,,,,
watch,20260617,300502,新易盛,-0.1194,10.4639,,,,,,,,,
watch,20260617,300394,天孚通信,-4.2892,5.2215,,,,,,,,,
buy_passed,20260618,300308,中际旭创,-4.065,-8.3266,,,,,,,,,
watch,20260618,688012,中微公司,2.9598,11.0245,,,,,,,,,
watch,20260618,300502,新易盛,-4.9307,-3.0988,,,,,,,,,
watch,20260618,000831,中国稀土,-7.3485,-12.7565,,,,,,,,,
watch,20260622,300502,新易盛,6.1722,-3.1374,66.5,9.3,1.1,34.038,29.61,100.0,82.0,,0.977
watch,20260622,300394,天孚通信,4.8602,-9.4965,,,,,,,,,
watch,20260622,300308,中际旭创,-5.1326,-12.5448,,,,,,,,,
watch,20260622,300620,光库科技,1.7051,-6.0772,,,,,,,,,
watch,20260622,688143,长盈通,5.5714,-21.0572,,,,,,,,,
buy_passed,20260623,000831,中国稀土,-7.2383,-6.2067,63.8,8.7,1.53,16.054,16.099,100.0,82.0,,1.969
buy_passed,20260623,300308,中际旭创,-4.5463,-3.3199,,,,,,,,,
watch,20260623,300502,新易盛,2.5362,9.9638,,,,,,,,,
watch,20260623,300620,光库科技,-5.9088,-1.8147,,,,,,,,,
watch,20260623,688012,中微公司,13.931,29.2414,,,,,,,,,
consensus,20260623,688143,长盈通,-1.2904,-19.2551,,,,,,,,,
consensus,20260623,300394,天孚通信,2.2344,-2.6909,,,,,,,,,
buy_passed,20260624,000831,中国稀土,-5.8773,-7.2469,57.9,5.4,1.36,13.77,13.867,100.0,82.0,,1.261
buy_passed,20260624,300308,中际旭创,-7.994,-7.7549,,,,,,,,,
watch,20260624,300394,天孚通信,-7.2089,-10.3999,,,,,,,,,
watch,20260624,300620,光库科技,-7.312,-10.9413,,,,,,,,,
consensus,20260624,300502,新易盛,-0.5429,2.7786,,,,,,,,,
watch,20260626,300394,天孚通信,-7.767,-19.0615,,,,,,,,,
watch,20260626,000831,中国稀土,-2.4968,-0.7654,,,,,,,,,
