date,code,name,ret_3d_pct,ret_5d_pct,ma20_deviation_pct,rsi,volume_ratio,opportunity_rank_score,short_score,sector_1d_return,sector_3d_return,sector_5d_return,sector_10d_return,sector_rank,t3,t5
20260622,301323,新莱福,-8.359,-4.352,11.3,68.9,1.48,79.35,76.25,,,,,,-13.5,-20.13
20260622,688167,炬光科技,-9.203,12.99,12.2,63.7,1.39,79.31,76.25,,,,,,2.08,-9.86
20260622,600459,贵研铂业,3.318,14.551,19.1,74.2,1.26,77.25,76.25,,,,,,-4.11,5.12
20260622,603155,新亚强,-6.024,-3.453,4.7,61.6,1.63,78.9,80.5,,,,,,5.39,27.81
20260622,002263,大东南,4.215,18.037,12.9,64.3,1.48,78.49,76.25,,,,,,-10.45,-25.68
20260622,603733,仙鹤股份,-7.633,-7.077,4.9,61.2,1.38,81.05,79.0,,,,,,2.39,0.27
20260622,603993,洛阳钼业,8.088,13.291,13.7,63.7,1.6,77.68,77.75,,,,,,-16.34,-16.67
20260622,000630,铜陵有色,4.756,11.69,15.1,66.3,1.46,77.47,76.25,,,,,,-15.01,-18.96
20260622,000668,荣丰控股,8.182,13.734,16.9,67.9,1.32,77.35,76.25,,,,,,-8.97,-1.39
20260622,000969,安泰科技,5.089,8.945,14.1,70.0,1.35,77.98,76.25,,,,,,-1.74,-11.22
20260622,603225,新凤鸣,-0.093,7.866,13.3,65.5,1.47,77.98,76.25,1.587,-1.614,-1.614,-1.614,21.0,5.78,-1.67
20260622,688379,华光新材,4.094,18.179,18.0,73.2,1.38,77.77,76.25,,,,,,-7.62,-15.09
20260622,688786,悦安新材,0.557,26.708,26.2,73.4,1.29,77.83,76.25,,,,,,-1.75,-0.17
20260622,603124,江南新材,-0.716,12.479,22.9,74.0,1.21,77.77,76.25,,,,,,-8.45,-12.83
20260622,301070,开勒股份,-0.945,21.521,17.1,69.2,1.61,79.63,77.75,,,,,,2.86,2.42
20260622,600596,新安股份,4.023,15.251,17.1,71.6,1.24,77.29,76.25,,,,,,2.69,-4.07
20260622,002051,中工国际,3.633,25.55,14.1,62.3,1.32,78.85,76.25,,,,,,2.67,-8.4
20260622,003026,中晶科技,10.424,16.18,17.1,72.4,1.62,79.59,77.75,1.206,7.639,7.639,7.639,26.0,3.52,13.67
20260622,603608,天创时尚,-14.953,-7.541,11.5,68.7,1.2,79.27,76.25,,,,,,-8.62,-8.95
20260622,300720,海川智能,5.505,14.22,16.3,70.2,1.21,77.75,76.25,,,,,,-1.83,17.1
