date,code,name,quantitative_score,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,long_score,extension_risk,forward_opportunity_score,opportunity_rank_score,room_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,t3,t5,turnover_pct,turnover_5d_avg_pct,turnover_20d_avg_pct,turnover_ratio_5_20,mom_3d_pct,mom_5d_pct,dist_20d_high_pct,dist_60d_high_pct,boll_pct_b,boll_above_pct
20260622,603335,迪生力,82.95,58.0,8.4,2.07,15.169,56.19,10.74,41.667,21.554,6.362,81.25,78.67,10.0,83.49,82.95,90.0,14.72,32.79,-7.45,13.75,2.88,0.1999,0.18075999999999998,0.087145,2.074,-6.924,1.863,-15.897,-15.897,0.747,False
20260623,603335,迪生力,79.12,70.6,17.5,2.28,31.679,60.498,31.724,50.561,32.901,7.008,77.75,79.15,55.0,68.14,79.12,45.0,25.17,45.65,0.0,2.73,2.84,0.17379999999999998,0.21471999999999997,0.09409999999999999,2.282,6.243,1.806,-7.487,-7.487,0.985,False
20260624,603335,迪生力,82.69,61.1,6.6,1.95,24.361,44.077,24.459,35.139,22.528,6.417,80.75,78.67,10.0,83.21,82.69,90.0,14.03,33.23,-8.31,-3.86,8.06,0.191,0.198,0.101515,1.95,0.608,-6.129,-15.179,-15.179,0.694,False
20260625,603335,迪生力,78.45,68.9,16.0,1.84,24.317,61.348,22.036,49.23,34.001,7.071,77.75,79.15,70.0,63.64,78.45,30.0,24.46,46.17,0.0,1.69,-0.11,0.24170000000000003,0.20417999999999997,0.110805,1.843,10.976,7.185,-6.667,-6.667,0.938,False
20260626,603335,迪生力,81.15,68.4,14.0,1.74,22.493,53.22,23.429,45.099,33.176,7.024,77.75,79.15,10.0,81.64,81.15,90.0,22.65,44.77,-0.66,3.93,-2.7,0.2163,0.20454,0.11734,1.743,0.222,9.976,-7.282,-7.282,0.87,False
20260629,603335,迪生力,84.6,59.6,3.2,1.64,11.973,36.938,11.261,27.255,19.457,7.581,83.5,78.67,0.0,87.73,84.6,100.0,11.02,31.51,-9.56,10.85,4.11,0.17550000000000002,0.19966,0.12148500000000002,1.643,-0.484,0.366,-15.59,-15.59,0.587,False
20260630,603335,迪生力,80.7,60.3,12.5,1.53,19.709,50.833,16.919,38.937,30.582,8.221,77.75,79.15,20.0,78.64,80.7,80.0,21.05,44.16,-0.55,-4.52,-13.01,0.129,0.1907,0.12449500000000002,1.532,-0.549,0.333,-7.179,-7.179,0.825,False
20260617,600255,鑫科材料,80.81,59.6,7.4,1.22,20.386,29.29,18.722,21.694,17.237,0.689,79.75,75.85,10.0,82.24,80.81,90.0,15.12,12.67,-9.52,6.51,-6.05,0.11460000000000001,0.16454,0.134345,1.225,5.301,8.978,-9.524,-9.524,0.687,False
20260617,300554,三超新材,80.01,52.5,5.2,1.1,16.114,25.123,14.451,17.527,19.588,3.469,79.75,77.92,0.0,85.55,80.01,100.0,16.53,21.41,-0.88,-0.53,-7.2,0.1552,0.12904,0.11748499999999998,1.098,6.499,3.709,-3.238,-3.238,0.793,False
20260618,300554,三超新材,80.84,68.7,8.5,1.2,23.053,40.035,19.739,31.833,24.298,3.729,79.25,78.28,10.0,82.33,80.84,90.0,20.43,26.36,0.0,-12.61,-15.84,0.1962,0.14844000000000002,0.12341000000000002,1.203,5.305,8.842,-1.182,-1.182,1.013,True
