code,date,entry_delta,entry_quality,crowding,crowding_mean,t3,t5,ret_5d_pct,sector_5d_return
688661,20260618,-8.0,40.0,30.0,6.356,-2.85,-4.45,18.769,6.356
688416,20260618,-7.0,42.5,10.0,,13.47,16.17,30.255,
300726,20260618,-8.0,40.0,10.0,,2.31,3.99,32.624,
2254,20260618,1.0,62.5,10.0,,-0.86,4.59,-1.163,
2203,20260622,-3.0,52.5,10.0,,-8.59,-17.46,12.264,
688733,20260622,-9.0,37.5,10.0,,-8.72,-16.65,18.159,
603335,20260622,1.0,62.5,10.0,,13.75,2.88,1.863,
601958,20260622,-7.0,42.5,30.0,6.556,-14.62,-6.12,19.705,6.556
603979,20260622,1.0,62.5,10.0,,-15.77,-16.83,7.304,
688432,20260622,-6.0,45.0,30.0,7.639,4.46,50.43,20.716,7.639
301323,20260622,1.0,62.5,10.0,,-13.5,-20.13,-4.352,
688167,20260622,-2.0,55.0,10.0,,2.08,-9.86,12.99,
600459,20260622,-3.0,52.5,10.0,,-4.11,5.12,14.551,
603155,20260622,1.0,62.5,10.0,,5.39,27.81,-3.453,
2263,20260622,-8.0,40.0,10.0,,-10.45,-25.68,18.037,
603733,20260622,1.0,62.5,10.0,,2.39,0.27,-7.077,
603993,20260622,-2.0,55.0,10.0,,-16.34,-16.67,13.291,
630,20260622,-2.0,55.0,10.0,,-15.01,-18.96,11.69,
668,20260622,-2.0,55.0,10.0,,-8.97,-1.39,13.734,
969,20260622,-2.0,55.0,10.0,,-1.74,-11.22,8.945,
603225,20260622,1.0,62.5,10.0,-1.614,5.78,-1.67,7.866,-1.614
688379,20260622,-8.0,40.0,10.0,,-7.62,-15.09,18.179,
688786,20260622,-8.0,40.0,10.0,,-1.75,-0.17,26.708,
603124,20260622,-3.0,52.5,10.0,,-8.45,-12.83,12.479,
301070,20260622,-8.0,40.0,10.0,,2.86,2.42,21.521,
600596,20260622,-4.0,50.0,10.0,,2.69,-4.07,15.251,
2051,20260622,-6.0,45.0,10.0,,2.67,-8.4,25.55,
3026,20260622,-2.0,55.0,30.0,7.639,3.52,13.67,16.18,7.639
603608,20260622,1.0,62.5,10.0,,-8.62,-8.95,-7.541,
300720,20260622,-2.0,55.0,10.0,,-1.83,17.1,14.22,
70,20260622,-7.0,42.5,10.0,,0.08,-17.7,33.333,
603328,20260622,0.0,60.0,30.0,6.057,-2.53,-14.46,9.765,6.057
603650,20260622,-5.0,47.5,10.0,,5.65,27.82,16.372,
2745,20260622,-6.0,45.0,10.0,,8.76,1.55,25.107,
300557,20260622,-4.0,50.0,10.0,,6.66,0.63,16.838,
301238,20260622,-8.0,40.0,10.0,,-8.19,-9.96,19.818,
519,20260622,-4.0,50.0,10.0,,-4.16,-13.11,17.138,
300548,20260622,-7.0,42.5,10.0,,-2.8,-12.71,33.101,
301150,20260622,-8.0,40.0,10.0,0.802,15.5,3.55,34.49,0.802
688661,20260622,-1.0,57.5,30.0,7.639,10.83,2.51,14.984,7.639
688416,20260622,-7.0,42.5,10.0,,18.16,9.84,37.778,
300726,20260622,-7.0,42.5,10.0,,8.11,0.02,43.155,
2733,20260622,1.0,62.5,10.0,,-0.83,-8.86,1.361,
605198,20260622,-5.0,47.5,10.0,,-7.5,-15.88,15.659,
691,20260622,-5.0,47.5,10.0,,12.28,-0.6,16.449,
688484,20260622,-6.0,45.0,10.0,,1.36,-5.03,31.554,
301092,20260622,-4.0,50.0,10.0,,-14.88,-25.12,17.576,
301366,20260622,-6.0,45.0,30.0,6.057,13.1,11.37,21.173,6.057
300852,20260622,0.0,60.0,30.0,6.057,-0.17,3.99,14.297,6.057
300802,20260622,-4.0,50.0,10.0,,-5.78,-17.8,15.093,
2125,20260622,1.0,62.5,10.0,,-14.94,-25.56,2.159,
603991,20260622,-1.0,57.5,30.0,7.639,-8.46,-6.29,11.84,7.639
3013,20260622,-2.0,55.0,10.0,-1.663,-7.98,-8.59,13.866,-1.663
600906,20260622,-2.0,55.0,10.0,,4.49,-2.51,12.59,
301687,20260622,-8.0,40.0,10.0,,9.34,-6.49,43.636,
300502,20260622,-2.0,55.0,10.0,,6.17,-3.14,14.514,
688700,20260622,-8.0,40.0,10.0,,-1.21,-9.7,18.584,
301218,20260622,-2.0,55.0,10.0,,0.79,-1.56,13.982,
2815,20260622,0.0,60.0,30.0,6.057,-2.04,-16.79,13.469,6.057
2700,20260622,1.0,62.5,10.0,,-16.69,-27.17,4.434,
688711,20260622,-2.0,55.0,10.0,,10.55,17.94,11.009,
301306,20260622,-9.0,37.5,10.0,,-2.01,-5.9,23.992,
601137,20260622,1.0,62.5,10.0,,-8.08,-15.46,1.188,
601233,20260622,1.0,62.5,10.0,,4.62,-1.37,3.562,
603929,20260622,1.0,62.5,10.0,,22.05,32.16,-1.999,
600458,20260622,1.0,62.5,10.0,,3.14,-2.52,5.867,
688535,20260622,-7.0,42.5,30.0,7.639,0.34,25.68,28.965,7.639
688720,20260622,-6.0,45.0,30.0,7.639,4.01,13.21,23.914,7.639
300553,20260622,-9.0,37.5,10.0,,2.18,-24.32,24.271,
300088,20260622,-8.0,40.0,10.0,,0.39,8.29,39.276,
300679,20260622,-6.0,45.0,10.0,1.885,-0.79,-16.83,26.963,1.885
2913,20260622,-6.0,45.0,30.0,6.057,0.23,-7.82,20.42,6.057
603324,20260622,-10.0,35.0,10.0,,16.69,31.08,23.815,
301132,20260622,-7.0,42.5,30.0,6.057,17.93,6.28,36.214,6.057
688207,20260622,-9.0,37.5,10.0,,-11.5,-5.33,21.608,
601636,20260622,-7.0,42.5,10.0,,2.33,20.34,28.571,
603399,20260622,1.0,62.5,10.0,,3.08,-3.22,3.814,
300321,20260622,-8.0,40.0,10.0,,0.49,1.82,35.041,
300873,20260622,-2.0,55.0,10.0,,0.85,6.25,13.297,
300821,20260622,-7.0,42.5,10.0,,-9.19,-3.67,26.513,
600961,20260622,-9.0,37.5,10.0,,0.37,-3.18,24.754,
300481,20260622,-2.0,55.0,10.0,,-1.61,-3.11,10.029,
2354,20260622,-2.0,55.0,10.0,,-5.64,7.05,13.032,
2106,20260622,-7.0,42.5,10.0,,-5.33,6.2,25.622,
2203,20260623,1.0,62.5,10.0,,-7.0,-5.88,-1.581,
688733,20260623,1.0,62.5,10.0,,-5.1,0.88,-1.953,
603335,20260623,1.0,62.5,10.0,,2.73,2.84,1.806,
601958,20260623,1.0,62.5,10.0,1.401,-1.4,2.21,-0.976,0.608
688432,20260623,1.0,62.5,30.0,6.528,28.59,66.33,-3.43,7.903
600259,20260623,1.0,62.5,10.0,,-6.76,-4.81,6.897,
831,20260623,1.0,62.5,10.0,,-7.24,-6.21,2.176,
600459,20260623,1.0,62.5,10.0,,10.5,13.52,0.544,
301418,20260623,1.0,62.5,10.0,,12.98,16.42,2.203,
2263,20260623,1.0,62.5,10.0,,-14.66,-20.43,1.446,
600392,20260623,-5.0,47.5,10.0,,-2.8,-3.94,17.785,
668,20260623,-2.0,55.0,10.0,,-0.44,-3.62,14.35,
300700,20260623,1.0,62.5,10.0,,-2.11,-6.67,1.945,
603225,20260623,1.0,62.5,10.0,-1.931,1.1,-6.34,-1.324,-2.184
300936,20260623,1.0,62.5,10.0,0.068,-17.41,-7.05,-1.511,1.469
688625,20260623,1.0,62.5,10.0,1.631,3.22,-5.3,4.063,1.521
688379,20260623,1.0,62.5,10.0,,-5.68,-3.45,-4.514,
300331,20260623,1.0,62.5,10.0,,5.28,9.74,-3.713,
603124,20260623,1.0,62.5,10.0,,-2.76,1.94,-6.48,
